instrument_name,currency,type,strike,expiration_timestamp,expiration,creation_timestamp,contract_size,tick_size,min_trade_amount,spot_ref,mark_price,best_bid_price,best_ask_price,underlying_price,mark_iv,bid_iv,ask_iv,open_interest,volume,volume_usd,delta,gamma,theta,vega
BTC-13MAR26-60000-C,BTC,call,60000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,65912.125,0.1027,0.1005,0.14,65905.74,65.27,60.74,130.52,2.9,0.0,0.0,0.80733,4e-05,-90.85468,32.02306
BTC-13MAR26-61000-C,BTC,call,61000.0,1773388800000,2026-03-13 08:00:00+00:00,1771910221000,1.0,0.0001,0.1,65912.125,0.0903,0.0665,0.1065,65911.83,63.41,0.0,91.48,2.0,0.0,0.0,0.77163,4e-05,-97.53776,35.3889
BTC-13MAR26-60000-P,BTC,put,60000.0,1773388800000,2026-03-13 08:00:00+00:00,1771488020000,1.0,0.0001,0.1,65912.125,0.013,0.0125,0.0135,65905.74,65.27,64.15,66.21,1647.8,72.0,53998.72,-0.19267,4e-05,-90.85468,32.02306
BTC-13MAR26-61000-P,BTC,put,61000.0,1773388800000,2026-03-13 08:00:00+00:00,1771910221000,1.0,0.0001,0.1,65912.125,0.0158,0.0155,0.016,65905.74,63.41,62.85,63.78,191.4,24.8,20888.12,-0.22862,4e-05,-97.58831,35.40724
